epoch,train_loss,train_acc,val_acc
1,1.9266921077379937,18.966177853634747,25.80105879074951
2,1.7725781611185563,31.19230903201087,39.063806074115355
3,1.5962333835843943,41.98683339719252,46.41961549178044
4,1.4253075157348192,47.18380995506636,49.2059069378657
5,1.2969132503847236,51.21738827545369,52.93953747561995
6,1.2061804564864704,53.94823922811662,55.224296461409864
7,1.1316865974651413,56.51189522449406,56.61744218445249
8,1.069889835366162,58.633181232366155,57.31401504597381
9,1.0275059218927056,60.15883520847121,58.3170799665645
10,0.9777702079849413,61.38493155456477,60.462524380050155
11,0.9369985052365768,62.98373332404473,60.9640568403455
12,0.9098233524834393,63.81970810547215,61.66062970186682
13,0.872905373108679,65.2791807447142,61.71635553078852
14,0.8430747071857707,66.34504859103417,62.97018668152689
15,0.8210687399707021,67.39001706781845,63.55530788520479
16,0.8012823484389978,67.97171618656171,63.137364168292
17,0.7714997200100353,68.85297293531646,64.39119531903037
18,0.7521964167566235,69.50433661917866,64.27974366118696
19,0.7318672285579095,70.35424431362988,65.11563109501253
20,0.7107938018965562,71.1170713016824,64.83700195040402
21,0.6860629439619442,72.41631544115086,65.33853441069935
22,0.6661259135052994,73.16172628792364,65.61716355530788
23,0.6471842930285066,73.65982792852415,65.89579269991641
24,0.6253497037032665,74.4818697969278,65.67288938422959
25,0.6058713860129461,75.27604583928385,65.05990526609084
26,0.5899349361458972,76.34539691385976,65.44998606854277
27,0.559994680446081,77.3207008255251,66.17442184452494
28,0.5436864012732007,77.92678254205998,66.50877681805517
29,0.5317579466675332,78.95781810582048,66.64809139035943
30,0.5220922507461833,78.96130133407642,66.45305098913346
31,0.5139751640420183,79.30962415967119,66.8431317915854
32,0.49764025632814735,79.97492075655718,66.09083310114238
33,0.49330022795030426,80.30234421261625,66.8988576205071
34,0.4778785284749649,81.06168797241283,66.8988576205071
35,0.4691556127936909,81.24629906997805,66.36946224575091
36,0.46234177464498977,81.37866174370407,66.92672053496796
37,0.4500096081890879,81.84541433000105,66.39732516021176
38,0.44390434823216735,82.26340172071475,66.75954304820284
39,0.4253804173594328,83.04712807830298,66.87099470604625
40,0.4125910899819669,83.33623602354662,67.01030927835052
41,0.4061468867854711,83.60444459925459,67.06603510727221
42,0.40547165380819866,83.92141837054582,67.03817219281137
43,0.39603364305002386,84.23839214183705,67.03817219281137
44,0.3905063182580179,84.41603678289039,66.75954304820284
45,0.3865826660580518,84.33592253300358,67.34466425188074
46,0.38135791130214597,84.67379567383051,67.06603510727221
47,0.37428288765766043,84.81660803232435,67.28893842295903
48,0.3795495854653335,84.71211118464593,67.4282529952633
49,0.3753098764172641,84.66682921731861,67.12176093619392
50,0.3679795843322983,85.30774321641297,67.09389802173307
