epoch,train_loss,train_acc,val_acc
1,1.5589737740816145,40.179037932355705,52.74449707439398
2,1.1665896283491684,56.0172768121495,59.821677347450546
3,1.0079560040896614,61.05750809850569,60.824742268041234
4,0.928752240332835,63.86847330105542,64.2518807467261
5,0.852727385565539,66.72472047093245,64.97631652270827
6,0.7985211584907863,68.65442892472744,66.20228475898578
7,0.7370424146508852,70.77223170434358,66.87099470604625
8,0.7002086370586021,72.10630812637152,66.87099470604625
9,0.661932448435467,73.68072729805984,67.87405962663695
10,0.6265603825615881,75.20986450242084,67.92978545555866
11,0.5672891641778245,77.3137343690132,67.9576483700195
12,0.5344998628432076,78.37960221533316,67.98551128448035
13,0.5035882082442132,80.08290083249155,67.92978545555866
14,0.474937656342585,80.97112403775819,68.54276957369741
15,0.4244964230631401,83.05061130655892,69.12789077737531
16,0.40513907452601366,83.62882719704622,68.54276957369741
17,0.37502795275309037,85.10571597756801,68.87712454722764
18,0.3489715822356315,86.23428193249504,68.79353580384509
19,0.2958537574467521,87.965446375701,69.57369740874896
20,0.26863267934800256,89.48413389529416,70.130955697966
21,0.2499151004183797,89.96133616635898,69.23934243521872
22,0.2380048325637932,90.67888118708419,69.85232655335749
23,0.22658623509391113,91.1108014908217,70.35385901365282
24,0.21298164174060247,91.50092305548783,70.77180273056561
25,0.20640299153951866,91.7621651746839,69.71301198105321
26,0.19713014235641219,92.24981713051656,70.10309278350516
27,0.1884403185367186,92.7061200320457,70.0752298690443
28,0.16872080224659503,93.30175206381274,70.63248815826135
29,0.15963105343796627,93.67445748719913,70.130955697966
30,0.15821699180820736,93.82075307394894,70.27027027027027
