epoch,train_loss,train_acc,val_acc
1,1.3774792039580228,47.89090529102372,58.51212036779047
2,1.0318657256712627,61.088857152809226,62.49651713569239
3,0.8937343649715517,65.56480546170191,66.00724435775982
4,0.8172330089693346,68.54993207704901,66.95458344942881
5,0.716415211790654,72.16552300672264,68.20841460016717
6,0.6587186802867261,74.57243373158244,68.37559208693229
7,0.5755889074574069,77.48441255355463,69.51797157982725
8,0.510219884609061,80.12469957156293,70.63248815826135
9,0.46213405610856606,82.29475077501829,70.27027027027027
10,0.39525087439934237,84.65986276080672,70.74393981610477
11,0.3455309538639468,86.72541711658366,69.90805238227918
12,0.3096674615164642,88.1779232993138,70.32599609919198
13,0.2579511505259172,90.2190950572991,70.82752855948732
14,0.23804343220485347,90.99585495837542,70.66035107272221
15,0.2134590857311718,91.87362847887422,70.77180273056561
16,0.218078964055912,91.98857501132049,70.35385901365282
17,0.1300907971167352,95.28370894144693,70.99470604625243
18,0.10917363950115667,95.87585774495803,71.55196433546949
19,0.09639973942613549,96.33216064648717,71.46837559208693
20,0.08864894207309774,96.78498031976035,70.79966564502647
21,0.08637850390195448,96.88251071092688,71.35692393424353
22,0.06990351180446423,97.45027691664635,71.30119810532182
23,0.061936869602837084,97.80208297049705,71.16188353301756
24,0.058567415670863036,97.90309658991954,71.21760936193925
25,0.0507668743541626,98.12950642655613,71.63555307885204
26,0.046854601963475045,98.25141941551429,71.27333519086096
27,0.04699667502933064,98.30366783935351,71.69127890777375
28,0.04621983709862302,98.35591626319273,71.1340206185567
29,0.04166735194541539,98.48131248040684,71.44051267762607
30,0.04199987766955189,98.50569507819847,71.24547227640011
