stage,epoch,train_loss,train_acc,val_acc
Stage1_FC,1,1.832330882416536,27.2806437005817,36.80691000278629
Stage1_FC,2,1.7652439492316978,31.387369814343934,36.69545834494288
Stage1_FC,3,1.7524460824932446,31.52321571632589,35.97102256896071
Stage1_FC,4,1.7374966988850278,32.066599324253716,37.53134577876846
Stage1_FC,5,1.730256119390373,32.10143160681319,36.02674839788242
Stage2_Layer4,1,1.5801123072681555,40.44724650806367,47.311228754527725
Stage2_Layer4,2,1.3763398351541871,47.814274269392875,51.825020897185844
Stage2_Layer4,3,1.2558114374666278,52.08471211118464,53.831150738367235
Stage2_Layer4,4,1.1652158385926736,55.31366470444808,55.69796600724436
Stage2_Layer4,5,1.101131008303245,57.44191716883207,58.567846196712175
Stage2_Layer4,6,1.0467273152219692,59.74433104601344,57.67623293396489
Stage2_Layer4,7,0.9971561945626358,60.7579504684942,59.09724157146837
Stage2_Layer4,8,0.9658570541836371,61.928315162492595,60.4346614655893
Stage2_Layer4,9,0.9287728124312675,63.19969347591348,60.573976037893566
Stage2_Layer4,10,0.894977020726172,64.3282594308405,61.82780718863193
Stage3_Full,1,0.8699748003004919,65.51952349437458,62.05071050431875
Stage3_Full,2,0.7884000356584987,68.38622034901947,63.49958205628309
Stage3_Full,3,0.7354220718078995,70.39952628095719,62.05071050431875
Stage3_Full,4,0.6932460568795491,71.89383120275872,64.89272777932571
Stage3_Full,5,0.6501241398016966,73.82005642829775,65.39426023962106
Stage3_Full,6,0.5907360843335069,75.96920826221742,66.03510727222067
Stage3_Full,7,0.5463516720817455,77.86060120519697,66.64809139035943
Stage3_Full,8,0.50136019322681,79.83907485457522,65.89579269991641
Stage3_Full,9,0.44734737174149874,81.86631369953673,67.4282529952633
Stage3_Full,10,0.4099751348152989,83.52084712111184,67.2610755084982
Stage3_Full,11,0.37894415862045205,84.75042669546136,67.17748676511563
Stage3_Full,12,0.35213760062554367,86.20641610644745,66.09083310114238
Stage3_Full,13,0.26551032034817146,89.40401964540736,68.79353580384509
Stage3_Full,14,0.2292106603925637,90.78337803476262,66.8988576205071
Stage3_Full,15,0.20239414504515568,92.08610540248702,67.06603510727221
